Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Conocimientos previos,"Los conocimientos que mencionas en las respuestas anteriores, ¿los has adquirido principalmente por tu cuenta o en prácticas (curriculares o no) o en alguna otra asignatura?"
8/09/2021 19:44:14,"Profesor, Horario, Amigos o conocidos la han elegido, Forma de impartirla, Número de aprobados en años anteriores, Utilidad para el resto de las asignaturas o mi trabajo, Forma de evaluar",Mejor manejo de git y aprender más sobre servidores,"git y github, Python, Ruby",Por mi cuenta o en prácticas
8/09/2021 19:44:31,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Despliegue de aplicaciones web,"Uso de PaaS, tales como Heroku o Azure WebApps, Python",Por mi cuenta o en prácticas
8/09/2021 19:45:04,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Uso de git y virtualización,"git y github, Javascript/Node/TypeScript/Deno, Uso de PaaS, tales como Heroku o Azure WebApps, Python, Microservicios/microframeworks REST",En otras asignaturas
8/09/2021 20:06:34,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Espero aprender más sobre virtualización y despliegue de aplicaciones ya que me interesa trabajar en DevOps en un futuro.,"git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Microservicios/microframeworks REST, Herramientas de integración continua, Desarrollo ágil",Por mi cuenta o en prácticas
8/09/2021 23:51:01,"No la he elegido, es obligatoria",Poder crear entornos virtuales para meter aplicaciones que hayamos desarrollado y profundizar mas sobre estos.,"git y github, Python, Ruby",En otras asignaturas
9/09/2021 0:49:36,"Profesor, Horario, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","TDD, contenedores y gestión del backend ","git y github, Desarrollo basado en test, Javascript/Node/TypeScript/Deno, Python, Ruby",Por mi cuenta o en prácticas
9/09/2021 10:14:45,"Amigos o conocidos la han elegido, Temática, Utilidad para el resto de las asignaturas o mi trabajo, Segunda matricula, la asignatura me pareció muy interesante.","Me pareció bastante interesante durante el poco tiempo que le dediqué el año pasado, ahora que he realizado trabajos externos a la universidad veo que los contenidos son muy cercanos a lo que se necesita en el mundo laboral.","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Ruby, Herramientas de integración continua",En otras asignaturas
9/09/2021 11:55:09,"No la he elegido, es obligatoria, Me resultó curiosa una ""discusión"" que tuvo con Cañas en Twitter relacionada a como debería cambiar el grado",Virtualización,"Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python",Por mi cuenta o en prácticas
9/09/2021 13:39:38,"Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo, Conocí la asignatura tras asistir a dos ediciones del curso tdd","Espero encontrar contenidos y la metodología de trabajo parecidos a los impartidos en las distintas ediciones del curso de desarrollo ágil (tdd). Sobre todo, me gustaría aprender buenas prácticas en desarrollo a base de practicarlas durante todo el cuatrimestre.","git y github, Desarrollo basado en test, Javascript/Node/TypeScript/Deno, Python, Ruby, Microservicios/microframeworks REST, Herramientas de integración continua, Desarrollo ágil",Por mi cuenta o en prácticas
9/09/2021 15:25:41,"Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","Aprender a trabajar en un proyecto con control de versiones, integración de distintos servicios, métodos de virtualización y despliegue","git y github, Python, Ruby",En otras asignaturas
9/09/2021 20:10:32,"No la he elegido, es obligatoria, Horario",Conocer mejor el manejo y las bases de servicios cloud,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Desarrollo ágil",Por mi cuenta o en prácticas
9/09/2021 20:17:13,"No la he elegido, es obligatoria",desplegar servicios en internet y trabajar correctamente con GitHub,"git y github, Javascript/Node/TypeScript/Deno, Uso de PaaS, tales como Heroku o Azure WebApps, Python",Por mi cuenta o en prácticas
9/09/2021 20:18:42,"No la he elegido, es obligatoria, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Cosas útiles para la vida laboral y que puedan abrirme puertas en el futuro.,"Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Ruby",Por mi cuenta o en prácticas
11/09/2021 13:49:44,"Profesor, Amigos o conocidos la han elegido, Exclusión de otras., Número de aprobados en años anteriores, Utilidad para el resto de las asignaturas o mi trabajo","Aprender a utilizar contenedores, máquinas virtuales y herramientas útiles en el mundo laboral","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Python, Ruby",Por mi cuenta o en prácticas
11/09/2021 14:00:47,Temática,Espero que los temas sean de mi interés ,"git y github, Javascript/Node/TypeScript/Deno, Python, Microservicios/microframeworks REST, Desarrollo ágil",Por mi cuenta o en prácticas
11/09/2021 14:10:16,"Profesor, Amigos o conocidos la han elegido, Temática","Espero aprender todo lo que se necesite saber para mejorar, sobretodo material para ser desarrollador web!!","git y github, Javascript/Node/TypeScript/Deno",Por mi cuenta o en prácticas
11/09/2021 15:06:23,"No la he elegido, es obligatoria",No tengo mucha idea sobre de que trata,"Ruby, Desarrollo ágil",En otras asignaturas
11/09/2021 15:40:09,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Espero que me ayude a completar con el aprendizaje de programacion web ya inciado en otras asignaturas como TW y DAI,Chef/ansible/docker u otras herramientas de gestión de configuraciones,En otras asignaturas
12/09/2021 15:55:12,"Temática, Forma de impartirla","Despliegue en la nuve, metodologias y tecnologias modernas, desarroyo de apis para internet","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Herramientas de integración continua",Por mi cuenta o en prácticas
12/09/2021 18:13:28,"No la he elegido, es obligatoria",Introducción a DevOps,Javascript/Node/TypeScript/Deno,Por mi cuenta o en prácticas
14/09/2021 17:23:10,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",DevOps,git y github,Por mi cuenta o en prácticas
15/09/2021 20:00:48,"Temática, Utilidad para el resto de las asignaturas o mi trabajo, leí la guía docente y me gustó bastante",lo leído en la guía docente,git y github,Por mi cuenta o en prácticas
16/09/2021 9:01:08,Temática,"Virtualización, contenedores y dinámica de trabajo en la empresa","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Ruby, Microservicios/microframeworks REST",En otras asignaturas
16/09/2021 10:01:20,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido",Git,"git y github, Python, Ruby",En otras asignaturas
16/09/2021 23:51:35,"Profesor, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",Aprender a trabajar aplicando desarrollo ágil y obviamente controlar git y github a la perfección.,Ruby,En otras asignaturas
17/09/2021 0:40:07,"No la he elegido, es obligatoria, Profesor, Amigos o conocidos la han elegido, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","Docker, buenas prácticas, soltarme con github, metodologías ágiles, etc","git y github, Desarrollo basado en test, Python, Ruby, Herramientas de integración continua, Desarrollo ágil",Por mi cuenta o en prácticas
17/09/2021 11:06:08,"No la he elegido, es obligatoria",git,"Python, Ruby",Por mi cuenta o en prácticas
22/09/2021 12:23:12,"No la he elegido, es obligatoria",No lo se,Ruby,En otras asignaturas
23/09/2021 8:51:58,"Amigos o conocidos la han elegido, Número de aprobados en años anteriores, No te juegas toda la nota en un examen final, me dijeron que si trabajaba aprobaba",Uso de git y github correctamente,"git y github, Javascript/Node/TypeScript/Deno, Python, Ruby",Por mi cuenta o en prácticas
25/09/2021 14:42:15,Utilidad para el resto de las asignaturas o mi trabajo,Aprender sobre desarrollar aplicaciones en la web,Python,Por mi cuenta o en prácticas